Массив X[k]:
X[0] = 6
X[1] = 65
X[2] = 61
X[3] = 23
X[4] = 45
X[5] = 12
X[6] = 80
X[7] = 84
X[8] = 98
X[9] = 44
X[10] = 59
X[11] = 45
X[12] = 85
X[13] = 85
X[14] = 47
X[15] = 12
X[16] = 43
X[17] = 88
X[18] = 29
X[19] = 60
X[20] = 61
X[21] = 84
X[22] = 100
X[23] = 72
X[24] = 30
X[25] = 82
X[26] = 49
X[27] = 13
X[28] = 37
X[29] = 22
X[30] = 28
X[31] = 94
X[32] = 33
X[33] = 55
X[34] = 72
X[35] = 66
X[36] = 72
X[37] = 81
X[38] = 43
X[39] = 99
X[40] = 74
X[41] = 88
X[42] = 22
X[43] = 42
X[44] = 86
X[45] = 100
X[46] = 49
X[47] = 100
X[48] = 21
X[49] = 23
X[50] = 3
X[51] = 19
X[52] = 18
X[53] = 91
X[54] = 5
X[55] = 8
X[56] = 6
X[57] = 37
X[58] = 41
X[59] = 99
X[60] = 10
X[61] = 76
X[62] = 77
X[63] = 3
X[64] = 81
X[65] = 74
X[66] = 28
X[67] = 24
X[68] = 61
X[69] = 75
X[70] = 64
X[71] = 35
X[72] = 96
X[73] = 8
X[74] = 16
X[75] = 41
X[76] = 40
X[77] = 27
X[78] = 44
X[79] = 9
X[80] = 84
X[81] = 7
X[82] = 55
X[83] = 74
X[84] = 26
X[85] = 35
X[86] = 20
X[87] = 52
X[88] = 61
X[89] = 82
X[90] = 49
X[91] = 47
X[92] = 82
X[93] = 50
X[94] = 95
X[95] = 51
X[96] = 94
X[97] = 77
X[98] = 10
X[99] = 82
